x	y	category	mutation_count
60	84	1	5869
60	87	1	5108
60	88	1	7894
60	89	1	5905
60	91	1	7069
60	94	1	7268
60	96	1	5123
60	101	1	5630
60	107	1	5948
60	108	1	6329
60	110	1	9602
60	114	1	6004
60	115	1	8927
60	117	1	8682
60	126	1	6418
60	131	1	5522
60	132	1	7438
60	135	1	9406
60	136	1	5640
60	138	1	5727
60	139	1	6365
60	142	1	4655
60	144	1	7359
60	146	1	4967
60	150	1	7782
60	164	1	6376
60	165	1	4885
60	195	1	5765
61	31	1	5523
61	36	1	7098
61	39	1	7198
61	40	1	5035
61	41	1	7472
61	42	1	8310
61	52	1	6436
61	62	1	5882
61	65	1	5315
61	66	1	6991
61	68	1	5331
61	69	1	5386
61	71	1	5671
61	73	1	5346
61	75	1	7187
61	76	1	6363
61	80	1	8259
61	83	1	5983
61	85	1	8192
61	88	1	7221
61	90	1	5762
61	91	1	5802
61	92	1	4434
61	96	1	9441
61	97	1	6894
61	98	1	7978
61	101	1	6969
61	107	1	5441
61	111	1	8756
61	113	1	5124
61	114	1	8822
61	116	1	5687
61	117	1	6815
61	122	1	6398
61	126	1	6269
61	131	1	4771
61	132	1	7335
61	133	1	7125
61	134	1	5254
61	140	1	8874
61	142	1	6218
61	146	1	5707
61	147	1	7406
61	149	1	8019
61	154	1	4696
61	172	1	4689
61	175	1	5987
61	176	1	5951
62	5	1	5951
62	30	1	4519
62	34	1	6989
62	38	1	4285
62	43	1	8560
62	45	1	6664
62	48	1	6626
62	49	1	5855
62	55	1	5735
62	60	1	5346
62	65	1	4122
62	68	1	5459
62	71	1	6976
62	72	1	7751
62	74	1	4958
62	75	1	9709
62	76	1	6011
62	82	1	6874
62	86	1	7377
62	89	1	5600
62	91	1	6831
62	94	1	6087
62	96	1	5766
62	97	1	7239
62	98	1	4501
62	99	1	4955
62	102	1	7169
62	105	1	5435
62	106	1	8191
62	107	1	7616
62	108	1	9801
62	109	1	7285
62	110	1	7032
62	113	1	7527
62	115	1	6207
62	117	1	5115
62	118	1	9811
62	121	1	7334
62	123	1	9262
62	126	1	6638
62	127	1	5844
62	128	1	6489
62	129	1	8892
62	131	1	5506
62	142	1	7253
62	145	1	6303
62	148	1	5826
62	152	1	4997
62	159	1	4522
62	160	1	5603
62	163	1	5938
62	168	1	6150
62	174	1	8145
62	180	1	5521
63	28	1	8375
63	37	1	5507
63	43	1	8991
63	44	1	8024
63	45	1	6310
63	48	1	5673
63	49	1	6614
63	51	1	7360
63	52	1	5188
63	54	1	7321
63	56	1	6772
63	57	1	7635
63	60	1	6370
63	61	1	7153
63	62	1	6325
63	67	1	5739
63	68	1	7585
63	70	1	7949
63	71	1	7358
63	78	1	7330
63	80	1	5567
63	81	1	5909
63	83	1	4341
63	84	1	5129
63	91	1	6556
63	93	1	9671
63	95	1	6605
63	97	1	6446
63	99	1	6821
63	104	1	5395
63	105	1	7652
63	108	1	5273
63	110	1	5763
63	112	1	4952
63	116	1	6736
63	120	1	6665
63	122	1	6212
63	124	1	7546
63	125	1	4976
63	126	1	5952
63	127	1	4208
63	131	1	6296
63	133	1	5542
63	134	1	7055
63	139	1	7578
63	140	1	8256
63	146	1	8034
63	148	1	4627
63	149	1	7598
63	150	1	5316
63	151	1	7387
63	154	1	8684
