s_coef,death_rate,adv_rate,push_prop,mut_rate,sample_diameter,vaf_cutoff,seed,diameter,genetic_cluster,value_enn,value_lsi,chindex,sackin_value,sackin_p_value,mean_internal,mean_terminal,inter_terminal_ratio,genetic_class_num,sample_num,sackin_value_normalised,smallest_genetic_ratio,cat1,cat2,n_cross_edges,n_cat1,n_cat2,n_samples,silhouette_mean
0,0.3,0,0,0.6,16,0,17,200,2,0,1.29,2.31134212,120,NA,271.7121212,1253.666667,0.216733944,2,24,-0.551916356,0.333333333,1,2,14,16,8,24,0.11186731
0.6,0.3,1.00E-06,1,0.6,16,0,199,200,2,0,1.38,4.110821402,168,NA,49.52083333,247.8846154,0.199773726,2,26,0.752699029,0.423076923,1,2,17,15,11,26,0.189008719
0.4,0.3,1.00E-06,1,0.6,16,0,145,200,2,0,1.29,4.726714439,128,NA,30.03030303,109.0833333,0.275296896,2,24,-0.218583022,0.125,1,2,9,3,21,24,0.392671715
0,0.3,0,0.2,0.6,16,0,55,200,2,0,1.33,2.9715021,115,NA,45.47727273,274.5833333,0.165622845,2,24,-0.760249689,0.416666667,1,2,13,14,10,24,0.142048784
0,0.3,0,0.2,0.6,16,0,87,200,3,0,1.46,3.585134851,121,NA,56.04545455,277.875,0.201693044,3,24,-0.510249689,0.25,1,2,7,8,6,14,0.253563436
0,0.3,0,0.2,0.6,16,0,87,200,3,0,1.46,3.585134851,121,NA,56.04545455,277.875,0.201693044,3,24,-0.510249689,0.25,1,3,7,8,10,18,0.239872146
0,0.3,0,0.2,0.6,16,0,87,200,3,0,1.46,3.585134851,121,NA,56.04545455,277.875,0.201693044,3,24,-0.510249689,0.25,2,3,8,6,10,16,0.250177108
0,0.3,0,0.5,0.6,16,0,31,200,2,0,1.25,3.704107014,135,NA,48.45833333,235.3269231,0.205919207,2,26,-0.51653174,0.461538462,1,2,16,14,12,26,0.170147862
0.2,0.3,1.00E-06,1,0.6,16,0,13,200,2,0,1.5,4.487938028,132,NA,40.38636364,227.0208333,0.177897169,2,24,-0.051916356,0.416666667,1,2,18,10,14,24,0.216567596
0,0.3,0,0.5,0.6,16,0,27,200,2,0,1.29,3.482579941,138,NA,42.64583333,250.5961538,0.170177525,2,26,-0.401147125,0.423076923,1,2,16,11,15,26,0.15523846
0.4,0.3,1.00E-06,1,0.6,16,0,196,200,2,0,1.3,3.329539978,95,NA,37.64814815,214.0666667,0.175871137,2,20,-0.445479314,0.4,1,2,12,12,8,20,0.191553086
0,0.3,0,0.8,0.6,16,0,76,200,2,0,1.38,5.441286587,135,NA,45.68181818,242.4166667,0.188443389,2,24,0.073083644,0.458333333,1,2,14,11,13,24,0.264572018
0,0.3,0,0.8,0.6,16,0,3,200,2,0,1.38,3.537152703,139,NA,40.75757576,234.8333333,0.173559584,2,24,0.239750311,0.5,1,2,14,12,12,24,0.17011202
0.6,0.3,1.00E-06,1,0.6,16,0,121,200,2,0,1.38,3.43269617,140,NA,43,257.3333333,0.167098446,2,24,0.281416978,0.333333333,1,2,16,8,16,24,0.172194378
0,0.3,1.00E-06,1,0.6,16,0,34,200,3,0,1.58,3.033997284,135,NA,36.23611111,239.6538462,0.151201876,3,26,-0.51653174,0.230769231,1,2,6,7,6,13,0.229859743
0,0.3,1.00E-06,1,0.6,16,0,34,200,3,0,1.58,3.033997284,135,NA,36.23611111,239.6538462,0.151201876,3,26,-0.51653174,0.230769231,1,3,9,7,13,20,0.186314966
0,0.3,1.00E-06,1,0.6,16,0,34,200,3,0,1.58,3.033997284,135,NA,36.23611111,239.6538462,0.151201876,3,26,-0.51653174,0.230769231,2,3,7,6,13,19,0.188068371
