s_coef,death_rate,adv_rate,push_prop,mut_rate,sample_diameter,vaf_cutoff,seed,diameter,genetic_cluster,value_enn,value_lsi,chindex,sackin_value,sackin_p_value,mean_internal,mean_terminal,inter_terminal_ratio,genetic_class_num,sample_num,sackin_value_normalised,smallest_genetic_ratio,cat1,cat2,n_cross_edges,n_cat1,n_cat2,n_samples,silhouette_mean,whole_adv_freq
0.6,0.3,1.00E-06,1,0.6,16,0,144,200,2,0,1.28,4.393852745,67,NA,33.98717949,129.4444444,0.262561902,2,15,-0.16979132,0.333333333,1,2,10,5,10,15,0.356590064,0.27503223
0.2,0.3,1.00E-06,1,0.6,16,0,60,200,2,0,1.38,3.405598044,131,NA,53.93181818,246.125,0.21912369,2,24,-0.093583022,0.416666667,1,2,15,10,14,24,0.172563677,0
0.6,0.3,1.00E-06,1,0.6,16,0,133,200,2,0,1.25,3.344102387,105,NA,22.86111111,128.625,0.177734586,2,20,0.054520686,0.1,1,2,6,18,2,20,0.429080586,0.40349947
0.6,0.3,1.00E-06,1,0.6,16,0,68,200,2,0,1.33,4.937635463,150,NA,45.15972222,235.775641,0.191536844,2,26,0.060391337,0.423076923,1,2,14,15,11,26,0.229755293,0
0.4,0.3,1.00E-06,1,0.6,16,0,90,200,2,0,1.33,4.087503354,138,NA,39.70833333,227.8653846,0.174262244,2,26,-0.401147125,0.5,1,2,16,13,13,26,0.189132285,0
0.4,0.3,1.00E-06,1,0.6,16,0,198,200,2,0,1.38,3.251837912,143,NA,41.27083333,234.1538462,0.176255201,2,26,-0.208839432,0.461538462,1,2,18,12,14,26,0.14481614,0
0.4,0.3,1.00E-06,1,0.6,16,0,92,200,2,0,1.28,5.288646539,83,NA,51.78205128,170.7,0.303351208,2,15,0.896875347,0.2,1,2,8,12,3,15,0.481590889,0.35245283
0.2,0.3,1.00E-06,1,0.6,16,0,43,200,2,0,1.5,3.015072282,149,NA,37.82638889,232.6410256,0.162595522,2,26,0.021929798,0.423076923,1,2,20,11,15,26,0.138544323,0
0.2,0.3,1.00E-06,1,0.6,16,0,26,200,2,0,1.38,3.936909285,121,NA,48.15909091,223.4166667,0.215557289,2,24,-0.510249689,0.375,1,2,15,9,15,24,0.197718243,0
0.6,0.3,1.00E-06,1,0.6,16,0,88,200,2,0,1.28,3.407638874,67,NA,32.41666667,148.7857143,0.21787486,2,14,0.282589633,0.214285714,1,2,8,11,3,14,0.373773307,0.238837704
0.4,0.3,1.00E-06,1,0.6,16,0,148,200,2,0,1.42,4.347272023,148,NA,21.42424242,102.1111111,0.209813038,2,24,0.614750311,0.291666667,1,2,14,7,17,24,0.245878342,0.47972973
0.4,0.3,1.00E-06,1,0.6,16,0,175,200,2,0,1.33,3.515992833,66,NA,34.19230769,154.8333333,0.220832988,2,15,-0.236457986,0.2,1,2,8,3,12,15,0.357314791,0.293067948
0.4,0.3,1.00E-06,1,0.6,16,0,48,200,2,0,1.3,2.955068392,89,NA,47.14705882,223.2368421,0.211197481,2,19,-0.411268788,0.421052632,1,2,15,8,11,19,0.15894271,0.041587902
0.4,0.3,1.00E-06,1,0.6,16,0,133,200,2,0,1.35,3.735761369,96,NA,29.52777778,126.525,0.233375047,2,20,-0.395479314,0.4,1,2,15,8,12,20,0.232165047,0.402572654
